Timestamps,Acc_X_cleaned,Acc_Y_cleaned,Acc_Z_cleaned,Gyro_X_cleaned,Gyro_Y_cleaned,Gyro_Z_cleaned,Label,Gender,BMI,Duration
1717697554360000000,-1.7675716840526317,-2.6508769467368425,10.446358264105266,0.4746543937473684,-0.161033828010421,0.0071730367038947,1.0,M,0.5,8000000000.0
1717697554361000000,-1.7675716840526317,-2.6508769467368425,10.446358264105266,0.4746543937473684,-0.161033828010421,0.0071730367038947,1.0,M,0.5,8000000000.0
1717697554560000000,-1.402695579565,-1.480645980815,9.21254740885,0.376801363755,-0.4077466936785,-0.0789131071322,1.0,M,0.5,8000000000.0
1717697554561000000,-1.402695579565,-1.480645980815,9.21254740885,0.376801363755,-0.4077466936785,-0.0789131071322,1.0,M,0.5,8000000000.0
1717697554960000000,-1.020832168575,-0.09392967224925,7.0683088761,-0.526021574435,0.119775262937,-0.08795210160345,1.0,M,0.5,8000000000.0
1717697554961000000,-1.020832168575,-0.09392967224925,7.0683088761,-0.526021574435,0.119775262937,-0.08795210160345,1.0,M,0.5,8000000000.0
1717697555160000000,-1.9312689056925,-2.716296432605,11.0053243115,-0.72832009789,0.07880665105675,-0.0402141213431,1.0,M,0.5,8000000000.0
1717697555161000000,-1.9312689056925,-2.716296432605,11.0053243115,-0.72832009789,0.07880665105675,-0.0402141213431,1.0,M,0.5,8000000000.0
1717697555360000000,-1.64042372126205,-4.82767829145,12.635928451999998,-0.0391669010675,0.0249453835174999,-0.0184969250079999,1.0,M,0.5,8000000000.0
1717697555361000000,-1.64042372126205,-4.82767829145,12.635928451999998,-0.0391669010675,0.0249453835174999,-0.0184969250079999,1.0,M,0.5,8000000000.0
1717697555560000000,-1.6674125976850005,-3.1297067413,10.910369270100002,0.4405024014499999,0.007248118895,0.0117067857605499,1.0,M,0.5,8000000000.0
1717697555561000000,-1.6674125976850005,-3.1297067413,10.910369270100002,0.4405024014499999,0.007248118895,0.0117067857605499,1.0,M,0.5,8000000000.0
1717697555760000000,-2.030700820052631,-1.7094215554000003,9.305060553578947,0.4387843451894736,0.1191010023234737,0.2426817530778947,1.0,M,0.5,8000000000.0
1717697555761000000,-2.030700820052631,-1.7094215554000003,9.305060553578947,0.4387843451894736,0.1191010023234737,0.2426817530778947,1.0,M,0.5,8000000000.0
1717697555960000000,-1.256389823912,0.500963241547,6.714452224700001,0.490056315999,-0.1187175058825,-0.0254619475484999,1.0,M,0.5,8000000000.0
1717697555961000000,-1.256389823912,0.500963241547,6.714452224700001,0.490056315999,-0.1187175058825,-0.0254619475484999,1.0,M,0.5,8000000000.0
1717697556160000000,-0.957558746359,0.3270174637126,6.021603012049999,-0.441224746405,0.07834915409465,-0.0920842983773,1.0,M,0.5,8000000000.0
1717697556161000000,-0.957558746359,0.3270174637126,6.021603012049999,-0.441224746405,0.07834915409465,-0.0920842983773,1.0,M,0.5,8000000000.0
1717697556360000000,-2.256078460735,-2.068301445075,10.7442746662,-0.6595921829350001,0.0651405725825499,-0.0337362365310999,1.0,M,0.5,8000000000.0
1717697556361000000,-2.256078460735,-2.068301445075,10.7442746662,-0.6595921829350001,0.0651405725825499,-0.0337362365310999,1.0,M,0.5,8000000000.0
1717697556560000000,-2.2862033157325,-3.97496152505,12.018267883,-0.26559488942355,0.0019982804501,-0.0396467889810499,1.0,M,0.5,8000000000.0
1717697556561000000,-2.2862033157325,-3.97496152505,12.018267883,-0.26559488942355,0.0019982804501,-0.0396467889810499,1.0,M,0.5,8000000000.0
1717697556760000000,-2.1278925246000004,-3.8405410538,11.8012566605,0.31788408533,-0.0090842595328,0.0088870979879999,1.0,M,0.5,8000000000.0
1717697556761000000,-2.1278925246000004,-3.8405410538,11.8012566605,0.31788408533,-0.0090842595328,0.0088870979879999,1.0,M,0.5,8000000000.0
1717697556960000000,-2.0753667525000004,-2.0509076156,9.41404339625,0.465067219745,0.0120160111249999,0.0810133655102,2.0,M,0.5,8001000000.0
1717697556961000000,-2.0753667525000004,-2.0509076156,9.41404339625,0.465067219745,0.0120160111249999,0.0810133655102,2.0,M,0.5,8001000000.0
1717697557160000000,-1.526974639889474,-0.0286772075663157,7.530295932210525,0.5201177267526316,-0.0970230886836842,0.1232497702889474,2.0,M,0.5,8001000000.0
1717697557161000000,-1.526974639889474,-0.0286772075663157,7.530295932210525,0.5201177267526316,-0.0970230886836842,0.1232497702889474,2.0,M,0.5,8001000000.0
1717697557360000000,-0.8904757461314998,0.7825801163449999,5.23599169915,-0.2666670311275,0.0055674922445,-0.1467404704425,2.0,M,0.5,8001000000.0
1717697557361000000,-0.8904757461314998,0.7825801163449999,5.23599169915,-0.2666670311275,0.0055674922445,-0.1467404704425,2.0,M,0.5,8001000000.0
1717697557560000000,-1.81876286315,-1.5342569961039998,10.330804481800005,-0.6514581426999999,-0.0460977990134999,-0.0867466636019,2.0,M,0.5,8001000000.0
1717697557561000000,-1.81876286315,-1.5342569961039998,10.330804481800005,-0.6514581426999999,-0.0460977990134999,-0.0867466636019,2.0,M,0.5,8001000000.0
1717697557760000000,-1.8014363936,-3.86012033835,11.4922617195,-0.38379185303215,-0.0185028828665,-0.06838749810175,2.0,M,0.5,8001000000.0
1717697557761000000,-1.8014363936,-3.86012033835,11.4922617195,-0.38379185303215,-0.0185028828665,-0.06838749810175,2.0,M,0.5,8001000000.0
1717697557960000000,-2.0054321822500003,-3.6956648253499993,12.0177364875,0.2847125411,0.0825655463796999,0.065103098379,2.0,M,0.5,8001000000.0
